,code,product_name,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score,brand_group,match_layer
0,8410757001090,Crema Manos,"[""en:Creams"", ""en:Non-food-products"", ""en:Open-beauty-facts""]","[""en:france"", ""en:morocco"", ""en:united-states""]",24,23,1,0.5625,1083.0,849.0,smoothie-app,1.0,1.0,0,1,0.0416666666666666,0.9583333333333334,3,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.9854166666666668,Other,unmatched
1,6281006408647,No Product Name,"[""en:incorrect-product-type"", ""en:Non-food-products"", ""en:Open-beauty-facts""]","[""en:germany"", ""en:morocco"", ""en:saudi-arabia""]",1,0,1,0.4625,570.0,504.0,smoothie-app,1.0,1.0,1,1,1.0,0.0,3,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.65,Unilever,corporate
2,80466468,DOVE Déodorant Femme Anti-Transpirant Stick Original 50ml,"[""en:D\u00e9odorants anti-transpirants"", ""en:open-beauty-facts""]","[""en:algeria"", ""en:france"", ""en:libya"", ""en:morocco"", ""en:saudi-arabia"", ""en:spain""]",19,19,0,0.6875,523.0,436.0,openfoodfacts-contributors,1.0,1.0,0,1,0.0,1.0,6,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,1.0,Unilever,corporate
3,3337875598996,moisturising cream,"[""fr:baume hydratant""]","[""en:france"", ""en:morocco"", ""en:romania""]",28,12,16,0.8875,497.0,422.0,smoothie-app,1.0,1.0,0,1,0.5714285714285714,0.4285714285714286,3,1,0,0,0,"[""en""]","[""fr""]",0,0,1,0.6666666666666667,0.775,CeraVe (L'Oréal),independent
4,3574669909594,No Product Name,[],"[""en:algeria"", ""en:morocco"", ""en:ukraine""]",3,3,0,0.2625,520.0,414.0,smoothie-app,1.0,1.0,1,1,0.0,1.0,3,0,0,1,0,"[""en""]",[],0,0,0,1.0,1.0,Other,unmatched
5,8886467010309,Lalla,"[""en:Cosmetics""]","[""en:morocco"", ""en:united-states""]",1,0,1,0.5625,520.0,406.0,smoothie-app,1.0,1.0,0,1,1.0,0.0,2,1,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.65,Other,unmatched
6,4810317002002,True Dent Dentrifrice,"[""en:Non-food-products"", ""en:Open-beauty-facts"", ""fr:Noutrriment""]","[""en:morocco"", ""en:united-states""]",12,11,1,0.4625,590.0,386.0,smoothie-app,1.0,1.0,0,1,0.0833333333333333,0.9166666666666666,2,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.9458333333333332,Unknown,empty
7,3600541177741,68YN5T 400ml,"[""en:Non-food-products"", ""en:Open-beauty-facts""]","[""en:morocco"", ""en:saudi-arabia"", ""en:tunisia""]",30,24,6,0.4625,456.0,349.0,foodless,1.0,1.0,0,1,0.2,0.8,3,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.93,Other,unmatched
8,3600551119922,Lait de toilette très doux,"[""fr:B\u00e9b\u00e9"", ""fr:Laits de toilette""]","[""en:france"", ""en:morocco""]",22,17,5,0.8,396.0,319.0,smoothie-app,1.0,1.0,0,1,0.2272727272727272,0.7727272727272727,2,2,0,0,0,"[""en""]","[""fr""]",0,0,1,0.6666666666666667,0.8954545454545455,Other,unmatched
9,6111260265321,No Product Name,"[""en:incorrect-product-type"", ""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Cosmetiques"", ""fr:Cosm\u00e9tiques""]","[""en:france"", ""en:morocco""]",36,22,14,0.275,391.0,301.0,smoothie-app,0.7142857142857143,0.5,1,1,0.3888888888888889,0.6111111111111112,2,5,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.5674603174603174,Unknown,empty
